employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
0,Randy,Lewis,gabrielamcclain@example.net,2021-11-11,Health promotion specialist,HR,"$67,771",8,"577 Kathleen Circles Apt. 485
Haleyport, OR 37426",East Shannonshire,PR,35379,1991-05-31,Active
1,Jasmine,Hines,invalid_email,2021-02-15,Radio broadcast assistant,HR,"$68,682",2,"83686 Johnson Forest
Port Christine, OH 79302",Parkerstad,KS,16048,1978-01-30,Inactive
2,Randy,Simmons,jordankimberly@example.org,2023-05-18,"Designer, interior/spatial",IT,"$58,573",55,"21576 Carter Forks
Grayhaven, ME 30407",North Erik,WA,70148,1973-01-21,Inactive
3,Catherine,West,stephanie91@example.net,2023-12-13,Neurosurgeon,HR,"$68,907",42,"1931 Nicholas Walk Apt. 775
South Kevin, GA 47487",Jenniferland,AR,24820,1973-06-17,Inactive
4,Nicholas,Howell,rachel26@example.com,2025-04-27,Transport planner,IT,"$61,091",84,"Unit 2051 Box 4357
DPO AE 05318",Jonburgh,MD,33555,1986-10-22,Active
5,David,Williams,invalid_email,2022-03-28,Estate manager/land agent,Finance,"$31,420",29,"4892 Mills Locks
Evanshaven, DE 30536",Port Lindaborough,TX,75036,1989-06-05,Active
6,Jerry,Mercer,harrisrachel@example.net,2025-03-26,Energy manager,Finance,"$92,219",68,"6612 Angelica Mills Apt. 305
Owenton, DC 66096",Amberberg,OH,20979,1987-08-13,Inactive
7,Teresa,Simmons,livingstonmelissa@example.net,2022-05-05,Trade mark attorney,Finance,"$78,105",5,"012 Amanda Groves Suite 078
Port Julie, VT 38100",Brownfort,AZ,80253,1968-02-01,Active
8,Jesus,Walters,torresthomas@example.net,2022-11-26,"Scientist, physiological",HR,"$99,966",54,"88010 Virginia Plain Suite 526
Hoffmanfort, ME 81516",West Erica,VT,36250,1977-06-29,Inactive
9,Michael,Tyler,carolinegeorge@example.org,2021-12-16,"Engineer, biomedical",HR,"$71,569",31,"618 Smith Station
Martinezside, TN 50161",North Tonyland,DE,04420,1980-07-21,Inactive
10,Amanda,Cook,jenkinsjodi@example.net,2023-08-09,"Therapist, speech and language",HR,"$45,076",45,"1107 Christopher Centers Apt. 767
South Mauriceburgh, ND 84106",Lake Christopher,PA,65266,1994-02-09,Inactive
11,Kristen,Williams,higginsrobert@example.org,2023-10-18,"Lighting technician, broadcasting/film/video",IT,"$53,183",38,"USNV Nelson
FPO AA 85787",Kevinberg,FM,86263,2000-06-14,Active
12,Sheila,Obrien,invalid_email,2025-07-25,Comptroller,HR,"$91,404",65,"95789 Brian Branch
Holmesstad, DC 19073",Port William,ND,61959,1975-09-15,Active
13,Amanda,Wilcox,sandersmichelle@example.net,2024-04-27,"Secretary, company",Finance,"$62,917",39,"4219 Campbell Wells Apt. 158
South Stephanieberg, FM 42207",Amandabury,RI,04692,1971-12-20,Active
14,Joseph,Juarez,kevin42@example.org,2025-02-11,Cytogeneticist,HR,"$90,514",15,"87178 Obrien Springs
Martinezville, SD 05015",Lake Michaelbury,KS,76705,1997-01-10,Active
15,Micheal,Morgan,callahannichole@example.com,2022-02-21,Operational researcher,HR,"$99,767",70,"666 Nicole Center Apt. 909
Thompsonberg, OR 61095",South Francisco,UT,37165,1970-07-02,Active
16,Gabriela,Thomas,bgonzales@example.net,2022-05-30,"Education officer, community",Finance,"$90,568",67,"90432 Michael Isle
East Jillian, NE 20520",Caitlinberg,PR,81270,1989-09-14,Active
